timestamp,gate_id,people_count,avg_velocity,pressure,predicted_pressure,risk_label
1771780734.7946613,Zone-3D,3,0.0,6.0,23.53868734210297,DANGER
1771780734.9724152,Zone-3C,3,0.5754322210947672,4.679668283598939,-2.7481942178802745,CROWDING
1771780735.113459,Zone-3C,3,0.565389613310496,3.7632638392570046,-2.734035476510666,CROWDING
1771780735.249766,Zone-3C,3,0.5772816936175028,3.112538720799311,-1.661428229834271,CROWDING
1771780735.3928132,Zone-3C,3,0.6529683222373327,2.605538866803927,-0.9387474139944554,CROWDING
1771780735.5472808,Zone-3C,3,0.6487333079179128,2.2532255670032826,-0.027597979506651438,CROWDING
1771780735.6986744,Zone-3C,3,0.6056690315405527,2.0348058144776076,0.5920785290555326,CROWDING
1771780735.8365307,Zone-3C,3,0.6436190406481425,1.8568781483517705,0.5662027344591549,SAFE
1771780735.9720914,Zone-3C,3,0.598298599322637,1.7625644310760213,1.066834165442783,SAFE
1771780736.1118293,Zone-3C,3,0.6281558175881704,1.6761713112015626,1.057919897607157,SAFE
1771780736.2620528,Zone-3C,3,0.6861513257026672,1.5808448241008843,0.946280383936139,SAFE
1771780736.3946998,Zone-3C,3,0.5681181053320566,1.5919355164648445,1.6755460710047445,SAFE
1771780736.5386512,Zone-3C,3,0.5678531328837076,1.5999071457710161,1.6552843662723156,SAFE
1771780736.6693563,Zone-3C,3,0.5829150676727295,1.5939322495742339,1.548219455155694,SAFE
1771780736.8121083,Zone-3C,3,0.6966164807478586,1.5175652961402861,0.9826026354820415,SAFE
1771780736.9586482,Zone-3C,3,0.6312258243560791,1.50267830771352,1.4010883262020504,SAFE
1771780737.1036186,Zone-2B,4,0.6307347789406776,1.9887871122548675,6.40335009384691,SURGE
1771780737.2380478,Zone-2B,3,0.7228823403517405,1.7803083789188903,0.2294644556821701,SAFE
1771780737.3780255,Zone-2B,4,0.6486129760742188,2.2641057920910237,5.720352290198755,SURGE
1771780737.5155323,Zone-2C,3,0.2604728043079376,1.8975984410531908,6.0219544314586635,SURGE
1771780737.6620514,Zone-2C,4,0.3330088108778,3.1849631709967587,11.97128516521888,SURGE
1771780737.8015532,Zone-2C,3,0.244140754143397,3.2493940906236976,3.7112584893209544,CROWDING
1771780737.9309456,Zone-2C,3,0.30311742424964905,3.1241516118932946,2.156223875936507,CROWDING
1771780738.085522,Zone-2C,3,0.301655391852061,3.040014048610538,2.4957031650816504,CROWDING
1771780738.2176778,Zone-2C,3,0.3872168958187103,2.814168129530196,1.1052324919493188,CROWDING
1771780738.351515,Zone-2C,3,0.37130023042360943,2.6819989532385837,1.6944622031724683,CROWDING
1771780738.4820137,Zone-2C,3,0.3675002058347066,2.59596178725478,1.9366663270573348,CROWDING
1771780738.6319652,Zone-2C,3,0.35556788245836896,2.5568767951103233,2.2962258306470447,CROWDING
1771780738.7679713,Zone-2C,3,0.39992066224416095,2.456597981386171,1.719286924838865,CROWDING
1771780738.9026072,Zone-2C,3,0.3972545067469279,2.3903776189631496,1.8985299766720944,CROWDING
1771780739.0421133,Zone-2B,4,0.5820977091789246,2.339755926355652,6.67213276069996,SURGE
1771780739.1893868,Zone-2B,4,0.5834731608629227,2.760388327029512,5.616518486288671,CROWDING
1771780739.3295817,Zone-2B,3,0.5264261861642202,2.452720079192432,0.25814478825665255,CROWDING
1771780739.457551,Zone-2B,2,0.5797873586416245,1.8580451686520454,-2.788968398348833,SAFE
1771780739.5974753,Zone-2B,4,0.6626947820186615,2.298409529516559,5.445571239615595,SURGE
1771780739.7430463,Zone-2B,2,0.6947666555643082,1.7282379979864402,-2.188555575521064,SAFE
1771780739.8831818,Zone-2B,3,0.7098434766133627,1.6045847542152767,0.7222014876669677,SAFE
1771780740.0279255,Zone-2B,4,0.6240356266498566,2.178214557637928,6.141287761538511,SURGE
1771780740.1633472,Zone-2B,4,0.5886579677462578,2.638196114493603,6.034855417039351,SURGE
1771780740.3143234,Zone-2B,5,0.6053769171237946,3.9659588343378873,12.760476689959393,SURGE
1771780740.463635,Zone-2B,5,0.5395406305789947,5.132054420658982,12.941869835534185,DANGER
1771780740.6071496,Zone-2B,4,0.5552281588315964,4.767385262292875,2.2263958851886994,CROWDING
1771780740.7395327,Zone-2B,3,0.37822601199150085,4.037734319099304,-1.4739276553819165,CROWDING
1771780740.8838394,Zone-2B,3,0.3892843723297119,3.50934293888948,-0.15224399905116792,CROWDING
1771780741.0281937,Zone-2B,3,0.46279191970825195,3.041572676634194,-0.19885813543187725,CROWDING
1771780741.1591372,Zone-2C,3,0.3364950617154439,2.527670979962873,2.7230142823911194,CROWDING
1771780741.3044486,Zone-2C,3,0.34723166624705,2.524596485575182,2.503438508105421,CROWDING
1771780741.449517,Zone-2C,3,0.37368980050086975,2.475282732044028,2.1353482519528906,CROWDING
1771780741.5926716,Zone-2C,4,0.3236411437392235,3.6358906497044723,11.743263702321201,SURGE
1771780741.7320027,Zone-2C,3,0.3696619470914205,3.2599845521102218,0.5620507010398783,CROWDING
1771780741.869643,Zone-2C,3,0.3605398933092753,3.0127342489892617,1.216382345954548,CROWDING
1771780742.006377,Zone-2C,3,0.337126225233078,2.8838550153427973,1.9413006736114404,CROWDING
1771780742.1568208,Zone-2C,3,0.3538055221239726,2.7616304013739272,1.9492033010912242,CROWDING
1771780742.3045466,Zone-3B,4,0.820178709924221,2.6333642338808567,2.8963220241427257,CROWDING
1771780742.4617214,Zone-3B,4,0.9199333190917969,2.576509601374541,2.2147809831651055,CROWDING
